        n    z      alpha(keV)
0       1    0            0 0
1       0    1            0 0 
2       1    1     2224.5662 4
3       2    1            0 0
4       3    1            0 0
5       4    1            0 0
6       5    1            0 0
7       6    1            0 0
8       1    2   5493.47510 10
9       2    2  19813.86610 20
10      3    2          735 20
11      3    2          735 20
12      4    2            0 0
13      5    2            0 0
14      6    2            0 0
15      6    2            0 0
16      7    2            0 0
17      8    2            0 0
18      0    3            0 0
19      1    3            0 0
20      2    3       1.96E+3 5
21      2    3       1.96E+3 5
22      3    3         4433 20
23      4    3       9973.96 5
24      5    3     -6.10E+3 10
25      5    3     -6.10E+3 10
26      6    3     -1.036E+4 9
27      6    3     -1.036E+4 9
28      7    3      -1.12E+4 3
29      8    3     -1.08E+4 10
30      8    3     -1.08E+4 10
31      8    3     -1.08E+4 10
32      8    3     -1.08E+4 10
33      8    3     -1.08E+4 10
34      9    3            0 0
35     10    3            0 0
36      1    4            0 0
37      2    4            0 0
38      2    4            0 0
39      3    4      -1587.14 7
40      4    4         91.84 4
41      5    4      16886.32 9
42      6    4     -7409.52 10
43      7    4         -8321 8
44      7    4         -8321 8
45      7    4         -8321 8
46      8    4      -8956.8 19
47      8    4      -8956.8 19
48      9    4      -9.70E+3 5
49     11    4            0 0
50     12    4            0 0
51     10    4    -1.167E+4 16
52     10    4    -1.167E+4 16
53     10    4    -1.167E+4 16
54     10    4    -1.167E+4 16
55     10    4    -1.167E+4 16
56     12    5    -1.569E+4 22
57     12    5    -1.569E+4 22
58     12    5    -1.569E+4 22
59     12    5    -1.569E+4 22
60     12    5    -1.569E+4 22
61     13    5            0 0
62     14    5            0 0
63     14    5            0 0
64     14    5            0 0
65     14    5            0 0
66     15    5            0 0
67     16    5            0 0
68     10    5       -14196 21
69     10    5       -14196 21
70     10    5       -14196 21
71     11    5     -1.432E+4 4
72      1    5            0 0
73      2    5      -3.4E+3 20
74      2    5      -3.4E+3 20
75      3    5     -4.83E+3 21
76      3    5     -4.83E+3 21
77      4    5      -1.69E+3 5
78      4    5      -1.69E+3 5
79      5    5       6586.81 8
80      6    5      11228.75 8
81      7    5     -10001.3 13
82      7    5     -10001.3 13
83      8    5     -10817.9 10
84      8    5     -10817.9 10
85      9    5       -11814 25
86      9    5       -11814 25
87      2    6            0 0
88      2    6            0 0
