Z,N,Halflife,Alpha,DeltaAlpha,Intens,DeltaIntens
52,53,6.20E-07,4703,5,100,14
52,54,5.10E-05,4128,9,100,0
52,55,0.0031,3690,5,0.33,15
52,55,0.0031,3853,13,7.00E+01,0.00
52,56,2.1,3318,4,49,0
52,57,4.4,3040,30,3.9,0
52,58,18.6,2624,15,6.70E-04,0
53,56,9.28E-05,3774,20,0.014,0
53,57,0.65,3444,10,17,0
53,58,2.5,3152,10,0.088,0
53,59,3.42,2880,30,0.0012,0
53,60,6.6,2610,40,3.30E-05,0
54,54,5.40E-05,4.32E+03,16,100,0
54,55,0.013,3914,7,30,4
54,55,0.013,4063,3,70,4
54,58,2.7,3211,7,0.8,0
54,59,2.74,2978,8,0.01,0
55,59,0.57,3233,21,0.018,0
56,58,0.43,3410,40,0.9,0
61,84,5.59E+08,2240,40,2.80E-05,0
62,84,3.25E+15,2460,3,100,0
62,85,3.38E+18,2248,1,100,0
62,86,2.21E+23,1932.3,12,100,0
63,84,2082240,2908,5,0.0022,0
63,85,4708800,2630,30,9.00E-07,0
64,84,2.35E+09,3182.69,24,100,0
64,86,5.65E+13,2726,9,100,0
64,87,1.07E+07,2600,30,8.00E-07,0
64,88,3.41E+21,2146.9,14,100,0
65,84,249.6,3999,7,0.022,0
65,84,14824.8,3644,3,0.005,17
65,84,14824.8,3967,3,16.7,0
65,85,12528,3492,5,7.00E-04,0
65,86,63392.4,3183,5,9.50E-06,0
65,86,63392.4,3407,4,0.0095,0
66,84,430.2,4232,4,33.6,0
66,85,1074,4069.4,24,5.6,0
66,86,8568,3628,4,0.1,0
66,87,23040,3305,5,1.90E-06,10
66,87,23040,3464,5,0.0094,14
66,88,9.47E+13,2870,5,100,0
67,84,47.2,4610.6,22,80,0
67,85,50,4149,0,0.011,11
67,85,50,4225,0,0.011,11
67,85,50,4454,3,10.8,0
67,85,161.8,4115,0,0.012,12
67,85,161.8,4199,0,0.012,12
67,85,161.8,4215,0,0.012,12
67,85,161.8,4281,0,0.012,12
67,85,161.8,4386,3,12,0
67,86,120.6,3910,5,0.05,0
67,86,558,4011,5,0.18,0
67,87,186,3721,5,0.001,0
67,87,705.6,3721,5,0.019,0
68,84,10.3,4804.3,16,91,0
68,85,37.1,4674,2,53,0
68,86,223.8,4168,3,0.47,0
68,87,318,4012,5,0.022,0
69,84,1.48,4586,10,0.00409,0
69,84,1.48,4902,15,0.00164,0
69,84,1.48,5103,3,91,0
69,84,2.5,4586,10,0.00414,0
69,84,2.5,4902,15,0.00166,0
69,84,2.5,5096,4,92,0
69,85,3.3,4840,15,0.14,3
69,85,3.3,5031,3,58,0
69,85,8.1,4825,15,0.24,11
69,85,8.1,4956,3,54,0
69,87,83.8,4232,7,0.064,0
70,84,0.409,5330.9,17,92.6,0
70,85,1.793,5200,3,89,0
70,86,26.1,4687,4,10,0
70,88,89.4,4065,7,0.0021,0
71,85,0.198,5565,3,100,0
71,85,0.494,5453,3,95,0
71,86,4.79,4996,4,6,0
71,87,10.6,4669,4,0.91,0
72,84,5.20E-04,7782,4,100,0
72,84,0.023,5873,4,100,0
72,85,0.115,5731,3,94,0
72,86,2.85,5268,3,44.3,0
72,88,13.6,4780,3,0.7,0
72,89,18.2,4599,7,0.29,0
72,90,39.4,3958,5,1.80E-05,19
72,90,39.4,4308,6,0.008,10
73,84,0.0017,7744,8,100,0
73,84,0.0043,6214,4,100,0
73,84,0.0101,6117,4,96.6,0
73,86,0.518,5600,5,55,0
73,86,1.04,5518,5,34,0
73,87,1.55,5412,5,34,0
73,88,3.08,5147,2,7,0
73,89,3.57,4883,4,0.074,0
74,84,1.43E-04,8286,7,100,0
74,84,0.00125,6445,3,100,0
74,85,0.0084,6295,5,100,0
74,86,0.091,5912,5,87,0
74,87,0.409,5775,5,73,0
74,88,1.19,5536,3,45.2,0
74,90,6.3,5149.6,23,3.8,0
74,91,5.1,4909,5,0.2,0
74,92,19.2,4739,4,0.035,0
74,94,50.9,4399,12,0.0031,10
75,84,2.10E-05,6776,26,8,0
75,85,6.12E-04,6530,4,11,0
75,86,0.0147,6270,4,95.2,0
75,87,0.077,6119,3,91,0
75,87,0.107,6086,5,97,0
75,90,2.32,5518,3,13,0
75,91,2.25,5522,7,24,0
76,85,6.40E-04,6580,30,6,3
76,85,6.40E-04,6890,12,94,3
76,86,0.0021,6602,4,100,0
76,88,0.021,6321,7,96,0
76,89,0.071,6183,9,80,0
76,90,0.208,5993,4,72,0
76,91,0.839,5839,3,50,0
76,92,2.1,5676,4,42,4
76,93,3.4,5508,8,1.56,0
76,93,3.4,5536,10,1.04,0
76,93,3.4,5577,8,10.4,0
76,94,7.37,5407.1,24,9.2,10
76,95,8.3,5166,10,0.117,0
76,95,8.3,5244,4,1.68,0
76,97,22.4,4939,6,0.021,0
76,98,44,4760,10,0.02,0
77,87,7.00E-05,6880,10,4,0
77,88,3.00E-04,6715,7,13,0
77,89,0.0105,6562,6,93,0
77,89,0.0151,6560,5,98.2,0
77,91,0.159,6260,10,55,8
77,91,0.159,6322,8,22,10
77,92,0.28,6119,5,79,0
77,92,0.57,6008,7,56,0
77,93,0.87,5815,4,5.2,0
77,95,2.19,5828,3,23,0
77,95,4.4,5515,7,2,0
77,96,2.16,5672,3,11,0
77,96,9.3,5418,4,4,0
77,97,5.01,5316,10,0.3,4
77,97,5.01,5478,6,2.2,3
77,97,7.9,5275,10,0.5,0
77,98,9,5393,5,0.9,0
77,99,8.6,5118,8,2.6,0
77,100,30,5011,10,0.06,0
78,89,7.80E-04,6982,6,100,0
78,90,0.00202,6832,10,99.3,0
78,91,0.00699,6692,3,100,0
78,92,0.0139,6548.4,18,98,0
78,93,0.044,6453,3,98,0
78,95,0.382,6067,5,0.86,9
78,95,0.382,6100,5,0.86,9
78,95,0.382,6133,5,1.72,19
78,95,0.382,6211,6,83,4
78,96,0.891,5762,5,0.4,4
78,96,0.891,6039,3,74,4
78,97,2.43,5814,4,4,9
78,97,2.43,5819,4,0.7,20
78,97,2.43,5948,4,54,7
78,97,2.43,6021,4,4.7,9
78,98,6.3,5530,3,0.1,5
78,98,6.3,5753,3,40,3
78,99,10.6,5423,10,0.66,7
78,99,10.6,5517,4,5,4
78,100,21.1,5291,4,0.23,19
78,100,21.1,5446,3,4,3
78,101,21.1,5195,9,0.24,0
78,102,56,5140,10,0.28,14
78,103,52,4950,10,0.0028,0
78,103,52,5036,5,0.071,0
78,104,132,4843,5,0.035,4
78,105,390,4719,9,0.0096,0
78,106,1038,4502,10,0.0016,7
78,110,881279.1,3919,7,2.50E-05,3
78,112,2.05E+19,3175,14,100,0
79,91,2.90E-04,7001,10,11,0
79,91,6.20E-04,7107,6,42,0
79,92,0.00102,6996,6,54,0
79,93,0.0077,6800,10,29,10
79,93,0.0077,6870,6,70,11
79,93,0.022,6762,10,100,0
79,94,0.014,6737,4,92,0
79,94,0.025,6683,9,94,0
79,95,0.139,6547,5,90,0
79,95,0.163,6433,5,29.6,20
79,95,0.163,6471,5,68.5,23
79,95,0.163,6629,10,2,20
79,96,0.137,6434,4,90,0
79,96,0.201,6433,4,90,0
79,97,1.36,6082,7,26,5
79,97,1.36,6117,7,66,5
79,97,1.36,6287,7,8,10
79,102,13.7,5196,10,0.0024,14
79,102,13.7,5242,10,0.0011,11
79,102,13.7,5301,5,0.007,17
79,102,13.7,5364,5,0.108,23
79,102,13.7,5407,5,0.07,17
79,102,13.7,5479,5,1.19,22
79,102,13.7,5545,5,0.084,19
79,102,13.7,5581,5,0.084,19
79,102,13.7,5626,5,1.16,22
79,103,15.5,5283,5,0.009,0
79,103,15.5,5352,5,0.09,0
79,103,15.5,5403,5,0.027,0
79,104,42.8,4964,10,0.0011,7
79,104,42.8,5084,10,0.0022,11
79,104,42.8,5160,5,0.0032,16
79,104,42.8,5346,3,0.54,25
79,105,47.6,4980,5,0.00171,8
79,105,47.6,5024,5,0.00165,8
79,105,47.6,5065,15,0.00104,8
